iter	Passed	Remaining
684	107245	205880
685	107401	205722
686	107569	205587
687	107719	205418
688	107866	205243
689	108019	205080
690	108183	204938
691	108336	204773
692	108471	204577
693	108612	204392
694	108751	204202
695	108891	204015
696	109042	203848
697	109181	203659
698	109329	203487
699	109474	203310
700	109607	203110
701	109771	202968
702	109917	202792
703	110037	202569
704	110176	202380
705	110315	202193
706	110452	202002
707	110597	201825
708	110755	201671
709	110885	201467
710	111030	201291
711	111172	201109
712	111306	200914
713	111439	200715
714	111566	200507
715	111736	200376
716	111889	200215
717	112018	200010
718	112144	199800
719	112268	199587
720	112386	199365
721	112519	199169
722	112679	199019
723	112845	198882
724	112962	198657
725	113102	198474
726	113225	198260
727	113379	198102
728	113516	197913
729	113660	197738
730	113792	197541
731	113940	197372
732	114083	197194
733	114222	197009
734	114422	196930
735	114554	196734
736	114684	196534
737	114819	196344
738	114962	196168
739	115102	195986
740	115249	195814
741	115416	195678
742	115555	195496
743	115676	195282
744	115807	195085
745	115939	194890
746	116088	194724
747	116234	194552
748	116369	194363
749	116498	194164
750	116639	193984
751	116785	193813
752	116977	193719
753	117128	193557
754	117280	193395
755	117423	193220
756	117561	193037
757	117711	192872
758	117853	192695
759	117988	192507
760	118170	192395
761	118302	192202
762	118452	192039
763	118592	191859
764	118744	191698
765	118904	191550
766	119026	191343
767	119179	191184
768	119331	191023
769	119474	190848
770	119601	190648
771	119725	190443
772	119855	190249
773	119972	190034
774	120123	189872
775	120257	189683
776	120405	189518
777	120560	189364
778	120668	189135
779	120809	188957
780	120968	188810
781	121117	188645
782	121278	188500
783	121423	188330
784	121560	188147
785	121681	187940
786	121823	187766
787	121993	187634
788	122100	187407
789	122255	187251
790	122404	187089
791	122558	186932
792	122714	186779
793	122869	186625
794	123005	186442
795	123143	186261
796	123261	186052
797	123420	185904
798	123553	185717
799	123692	185539
800	123846	185382
801	123971	185185
802	124136	185045
803	124273	184863
804	124416	184692
805	124570	184536
806	124699	184344
807	124821	184142
808	124980	183995
809	125125	183826
810	125271	183659
811	125408	183479
812	125543	183297
813	125685	183124
814	125829	182954
815	125964	182771
816	126118	182617
817	126291	182489
818	126442	182331
819	126581	182153
820	126729	181989
821	126860	181803
822	127022	181658
823	127189	181523
824	127377	181416
825	127565	181310
826	127714	181148
827	127885	181016
828	128040	180862
829	128212	180733
830	128357	180566
831	128535	180444
832	128713	180322
833	128897	180208
834	129032	180027
835	129193	179882
836	129374	179764
837	129567	179662
838	129717	179502
839	129877	179354
840	130033	179202
841	130189	179048
842	130363	178920
843	130502	178745
844	130652	178584
845	130831	178462
846	130999	178326
847	131142	178156
848	131324	178038
849	131469	177870
850	131656	177759
851	131882	177700
852	132058	177574
853	132225	177435
854	132374	177273
855	132553	177151
856	132752	177054
857	132899	176890
858	133033	176706
859	133196	176563
860	133384	176451
861	133530	176284
862	133702	176152
863	133825	175955
864	133997	175822
865	134149	175665
866	134320	175530
867	134472	175371
868	134642	175237
869	134804	175091
870	134954	174929
871	135135	174807
872	135291	174655
873	135457	174513
874	135630	174382
875	135774	174213
876	135961	174099
877	136130	173961
878	136304	173831
879	136448	173662
880	136628	173537
881	136765	173360
882	136917	173201
883	137084	173061
884	137267	172941
885	137464	172838
886	137621	172686
887	137797	172556
888	137975	172431
889	138111	172250
890	138309	172149
891	138475	172007
892	138662	171891
893	138801	171716
894	138949	171552
895	139105	171397
896	139236	171212
897	139414	171085
898	139599	170966
899	139767	170826
900	139933	170685
901	140085	170525
902	140266	170401
903	140416	170239
904	140569	170080
905	140783	169997
906	140984	169896
907	141157	169762
908	141312	169605
909	141506	169496
910	141701	169388
911	141860	169236
912	141968	169024
913	142108	168850
914	142272	168706
915	142421	168542
916	142540	168344
917	142685	168176
918	142831	168010
919	142973	167838
920	143075	167620
921	143191	167419
922	143347	167264
923	143492	167096
924	143648	166942
925	143793	166775
926	143912	166578
927	144066	166421
928	144208	166251
929	144336	166065
930	144507	165927
931	144646	165754
932	144811	165609
933	144966	165453
934	145082	165254
935	145233	165095
936	145352	164898
937	145512	164748
938	145629	164550
939	145761	164369
940	145890	164185
941	146010	163990
942	146144	163812
943	146265	163618
944	146410	163452
945	146516	163243
946	146646	163060
947	146778	162880
